symbol,side,entry_idx,exit_idx,entry_time,exit_time,entry_price,exit_price,qty,pnl_quote,pnl_pct,exit_reason,bars_held
NEAR/USDT,short,5821,5823,2025-06-26 21:15:00,2025-06-26 21:45:00,2.0605878,2.0495388257999996,14.558952547423605,0.1369258356719436,0.01369258356719436,stop,2
NEAR/USDT,long,6150,6155,2025-06-30 07:30:00,2025-06-30 08:45:00,2.205441,2.1800003063772224,13.60272163254424,-0.36992424842009086,-0.03699242484200908,stop,5
NEAR/USDT,short,7619,7621,2025-07-15 14:45:00,2025-07-15 15:15:00,2.5134971999999998,2.4919502903999997,11.935561336610998,0.23327733092967104,0.023327733092967103,stop,2
NEAR/USDT,long,9920,9922,2025-08-08 14:00:00,2025-08-08 14:30:00,2.6975394,2.661230469037053,11.121246273548405,-0.4276390429429354,-0.04276390429429354,stop,2
NEAR/USDT,short,10880,10884,2025-08-18 14:00:00,2025-08-18 15:00:00,2.564487,2.5581615299999996,11.69824608196493,0.05002650340595149,0.005002650340595148,stop,4
NEAR/USDT,short,13509,13517,2025-09-14 23:15:00,2025-09-15 01:15:00,2.7114576,2.6905840091999997,11.064159734601787,0.20704112234305708,0.020704112234305707,stop,8
NEAR/USDT,short,17126,17136,2025-10-22 15:30:00,2025-10-22 18:00:00,2.1865626,2.171929299,13.720165157860105,0.17685161504728836,0.017685161504728836,stop,10
NEAR/USDT,long,17535,17536,2025-10-26 21:45:00,2025-10-26 22:00:00,2.340468,2.371036796032122,12.817949230666688,0.367672543872114,0.0367672543872114,take_profit,1
NEAR/USDT,long,20331,20345,2025-11-25 00:45:00,2025-11-25 04:15:00,1.9323864,1.8999262520200728,15.524845341490709,-0.5277372016394107,-0.05277372016394107,stop,14
NEAR/USDT,short,20819,20821,2025-11-30 02:45:00,2025-11-30 03:15:00,1.8516296,1.829387038328596,16.20194449257022,0.33651689867248896,0.033651689867248896,take_profit,2
NEAR/USDT,long,21642,21651,2025-12-08 16:30:00,2025-12-08 18:45:00,1.7773553999999998,1.7456116383419955,16.879010241845837,-0.5595889568289116,-0.05595889568289116,stop,9
NEAR/USDT,short,23845,23847,2025-12-31 15:15:00,2025-12-31 15:45:00,1.5116976,1.5088137024,19.84523888904765,0.033254529458274076,0.0033254529458274077,stop,2
NEAR/USDT,short,27876,27878,2026-02-11 15:00:00,2026-02-11 15:30:00,0.954809,0.9450149651999998,31.419896544753975,0.28385065119579467,0.028385065119579465,stop,2
NEAR/USDT,long,28217,28234,2026-02-15 04:15:00,2026-02-15 08:30:00,1.0862172,1.067623876163833,27.618785635138163,-0.5373196152656929,-0.0537319615265693,stop,17
NEAR/USDT,short,28553,28562,2026-02-18 16:15:00,2026-02-18 18:30:00,1.0387922,1.028280615,28.879693166737294,0.2796927780358812,0.02796927780358812,stop,9
